A,B,C,D,E,F
27,309.26,0,42.41,50.3538,48.6261
7,109.01,36,654.23,-43.4939,-14.9761
31,349.4,24,450.33,-27.7915,-25.9159
2,59.28,1,59.11,38.6842,61.9075
20,239.56,20,382.06,-72.7462,-42
30,339.33,26,484.48,-24.2562,-84.591
32,359.36,25,467.25,16.495,4.11267
34,379.17,15,297.07,-22.2524,-8.99055
9,129.08,21,399.19,19.4287,15.733
5,89.54,33,603.14,36.3396,11.1101
34,379.46,38,688.3,-32.6784,-50.3202
34,379.21,13,263.56,-32.1203,-45.8725
11,149.55,22,416.43,20.1737,65.985
15,189.47,1,59.33,-6.85734,-4.1203
30,339.06,23,433.41,-1.78201,-0.90798
18,219.29,3,93.33,-14.7069,-40.4068
10,139.08,19,365.4,-35.1891,-11.4336
25,289.31,13,263.24,49.1039,52.6574
17,209.04,24,450.16,16.3437,32.0762
17,209.35,37,670.98,-21.5957,-40.6156
35,389.29,12,246.15,43.1604,41.6795
25,289.47,1,59.41,11.3701,6.30252
27,309.47,10,212.49,68.6075,34.9572
15,189.32,1,59.56,18.7028,18.0611
28,319.2,8,178.54,-57.2879,-61.4337
25,289.2,15,297.54,46.5001,80.5403
18,219.15,26,484.08,-37.7918,-3.97208
35,389.18,22,416.14,21.9638,49.3314
11,149.38,18,348.02,-44.612,-51.3202
14,178.97,0,42.39,67.9239,59.0453
5,89.24,20,381.97,22.8254,7.4164
35,389.11,32,586.3,5.88976,1.14485
17,209.5,8,178.36,11.1094,28.941
30,339.11,35,637.18,73.2475,29.5939
25,289.51,0,42.14,-9.82983,-6.88291
34,379.3,29,535.23,-25.6516,-70.4769
11,149.1,39,705.12,26.6776,73.296
2,59.12,39,705.39,-23.1662,-11.8037
28,319.34,16,314.2,-1.84101,-0.781462
2,59.32,14,280.31,-4.77399,-5.11947
16,199.56,28,518.42,44.9166,35.0927
30,339.25,18,348.07,23.4755,4.98988
7,109.55,32,586.23,11.1262,4.49528
0,39.37,36,654.46,88.6901,34.0449
37,409.54,1,59.48,-21.1319,-18.3696
25,289.17,37,671.5,-88.8788,-30.6034
19,229.53,3,93.14,34.7147,15.456
